Date,Lon,Lat,Speed (m/s),Dir (deg),U (m/s),V (m/s)
2022-02-14 14:10:19,-60.6719667,-61.00095,0.5496198082369744,99.43557449554699,0.5421837620260185,-0.09010383899569567
2022-02-14 14:30:19,-60.6604333,-61.0028667,0.5583463038438986,99.185342006161,0.5511867046858537,-0.08912806288533665
2022-02-14 14:50:19,-60.6486833,-61.0047667,0.5502658756254789,99.42177398184077,0.5428428010592249,-0.09007900541219246
2022-02-14 15:10:19,-60.6371333,-61.0066833,0.5616828851212862,100.55044216975413,0.5521871246324513,-0.10284475109755305
2022-02-14 15:30:19,-60.6255,-61.00885,0.5591890242719889,98.81883668385883,0.5525783095705025,-0.08572967198388796
2022-02-14 15:50:19,-60.6136833,-61.0106833,0.5402327681653657,98.25831092458381,0.5346308581720479,-0.07759696701439678
2022-02-14 16:10:19,-60.6022,-61.01235,0.5278363198984256,96.33115811895084,0.524617116742488,-0.05820705648554755
2022-02-14 16:30:19,-60.5907833,-61.0136167,0.5043528254303962,93.87126783947737,0.5032020239547851,-0.034051367188875366
2022-02-14 16:50:19,-60.5797,-61.0143667,0.493404284587086,94.0476909313122,0.49217355762996445,-0.034827822480859257
2022-02-14 17:10:19,-60.5688667,-61.0151333,0.45546503649088455,92.94315282969593,0.45486426417083964,-0.023385906994670684
2022-02-14 17:30:19,-60.5588167,-61.01565,0.4147982864941731,93.0235345729717,0.4142208678725253,-0.0218790104308686
2022-02-14 17:50:19,-60.5496667,-61.0161333,0.3709856057397365,93.03160216191422,0.3704664174469,-0.019620224518044013
2022-02-14 18:10:19,-60.5414833,-61.0165667,0.3237759873093596,94.29557302622867,0.322866475889274,-0.024251365012951866
2022-02-14 18:30:19,-60.5343833,-61.0171,0.287524087166516,99.23150091468011,0.28380013673645804,-0.046125731314592994
2022-02-14 18:50:19,-60.5283333,-61.0180833,0.3000412892270167,106.49934977783593,0.28768647644665934,-0.08521306537565725
2022-02-14 19:10:19,-60.52265,-61.0197667,0.29684032196373916,111.80121515206525,0.27560969377833855,-0.11024279313835791
2022-02-14 19:30:19,-60.5175667,-61.0218,0.2991107989478109,115.66749839709641,0.26959540488560024,-0.12955920543044028
2022-02-14 19:50:19,-60.51285,-61.0240667,0.29472071413204276,120.086164101618,0.25501372945779843,-0.14774402568810038
